State,FIPS,Year,VCF0204,VCF0206,VCF0207,VCF0209,VCF0210,VCF0211,VCF0212,VCF0213,VCF0217,VCF0218,VCF0219,VCF0220,VCF0223,VCF0224,VCF0227,VCF0228,VCF0231,VCF0232,VCF0233,VCF0234,VCF0253,VCF0290,VCF0291,VCF0310,VCF0346,VCF0347,VCF0348,VCF0349,VCF0358,VCF0359,VCF0360,VCF0361,VCF0370,VCF0371,VCF0372,VCF0373,VCF0374,VCF0380,VCF0386,VCF0392,VCF0450,VCF0451,VCF0475,VCF0481,VCF0487,VCF0493,VCF0501,VCF0502,VCF0502a,VCF0503,VCF0504,VCF0604,VCF0605,VCF0606,VCF0609,VCF0613,VCF0614,VCF0624,VCF0648,VCF0649,VCF0656,VCF0702,VCF0703,VCF0704,VCF0704a,VCF0705,VCF0706,VCF0707,VCF0708,VCF0709,VCF0710,VCF0713,VCF0714,VCF0724,VCF0801,VCF0803,VCF0804,VCF0806,VCF0809,VCF0823,VCF0824,VCF0830,VCF0838,VCF0839,VCF0843,VCF0846,VCF0847,VCF0849,VCF0850,VCF0851,VCF0852,VCF0853,VCF0854,VCF0867,VCF0867a,VCF0870,VCF0871,VCF0872,VCF0876,VCF0876a,VCF0877,VCF0877a,VCF0878,VCF0879,VCF0879a,VCF0880,VCF0880a,VCF0881,VCF0886,VCF0887,VCF0888,VCF0890,VCF0894,VCF9005,VCF9009,VCF9013,VCF9014,VCF9015,VCF9016,VCF9017,VCF9018,VCF9021,VCF9022,VCF9023,VCF9030,VCF9030a,VCF9030b,VCF9030c,VCF9031,VCF9037,VCF9039,VCF9040,VCF9041,VCF9042,VCF9045,VCF9047,VCF9048,VCF9049,VCF9081,VCF9084,VCF9085,VCF9086,VCF9087,VCF9088,VCF9089,VCF9092,VCF9093,VCF9094,VCF9095,VCF9096,VCF9122,VCF9131,VCF9132,VCF9133,EST_VC03,EST_VC05,EST_VC06,EST_VC11,EST_VC12,EST_VC13,EST_VC41,EST_VC42,EST_VC48,EST_VC55,EST_VC56,EST_VC58,EST_VC59,EST_VC63,EST_VC91,EST_VC92,EST_VC93,EST_VC94,EST_VC95,EST_VC108,EST_VC110,EST_VC112,EST_VC115,EST_VC116,EST_VC134,EST_VC135,EST_VC166,EST_VC167,EST_VC171,EST_VC187,EST_VC190,EST_VC191,EST_VC192,EST_VC194,EST_VC281,EST_VC283,EST_VC284,TotalMoney,PercentMoney, T_VOTES , Rep_Votes , Rep_Percent ,Rep_EV, Dem_Votes , Dem_Percent ,Dem_EV,lagdempct,VEP,VAP,VEP_Diff_From_Nat,VAP_Diff_From_Nat,PerCapitaGDP
Alabama,1,2008,72.31818182,74,77.63636364,62.40909091,45.81818182,48.86363636,71.13636364,87.13636364,62.36363636,40.77272727,79.09090909,61.81818182,77.72727273,61.54545455,67.13636364,49,45.36363636,53.04545455,33.63636364,64.31818182,56.95454545,51.31818182,39.77272727,1,1.363636364,1.772727273,1.5,1.318181818,1.454545455,1.590909091,1.636363636,1.772727273,1.681818182,1.818181818,1.454545455,1.272727273,4.227272727,3.318181818,3,3.318181818,1.590909091,2.727272727,3.909090909,1.909090909,1.545454545,3,2.090909091,1.681818182,1.681818182,2.636363636,5.272727273,1.454545455,1.227272727,1.045454545,0.590909091,0.636363636,0.590909091,2.136363636,557.4090909,152.1818182,116.2272727,1.636363636,2.454545455,1.363636364,1.363636364,1.363636364,2.636363636,1,1.090909091,2.181818182,2.181818182,2.363636364,1.954545455,1.227272727,64.5,5.227272727,3.045454545,3.090909091,3.863636364,1.727272727,1.318181818,5.636363636,1.727272727,3.227272727,3.318181818,1.227272727,3.227272727,4,1.909090909,2.363636364,4.227272727,2.590909091,3.318181818,4.954545455,4.863636364,4.545454545,4.318181818,6.545454545,3.545454545,3.5,3,3.227272727,4.454545455,4.090909091,4.363636364,2,3.045454545,1.863636364,1.954545455,2.090909091,1.363636364,1.5,2.045454545,57.40909091,3.318181818,2.090909091,4,3.636363636,3.545454545,3.318181818,3.227272727,4.272727273,2.818181818,1.318181818,5.318181818,2.227272727,2.454545455,2.227272727,4.636363636,5.818181818,3.590909091,2.636363636,3.136363636,4.318181818,2.181818182,1.5,1.590909091,1.590909091,4.454545455,2.909090909,4.909090909,6.909090909,5.363636364,2.227272727,6,5.590909091,6.136363636,5.909090909,6.363636364,5.090909091,1.772727273,2.090909091,2.363636364,2.136363636,98.7,0.1,0,6.6,17.5,9.9,4541656,59.5,1815865,33,14.5,2.3,18.5,3.1,73.3,20.4,597228,66.2,28,21.2,1155351,28062,2764866,3.8,9.1,6,95.9,4.1,61.5,11.8,1.1,2.3,24,2079965,21.4,19.4,13.7,1385,0,"2,099,819.00","1,266,546.00",0.6,9,"813,479.00",0.39,0,36.8,0.608,0.584,-0.008,0.015,37191
Arizona,4,2008,73.57142857,71.38095238,71.5952381,52.47619048,62.69047619,62.42857143,62.80952381,78.16666667,68.38095238,61.16666667,77.19047619,58.5,76.21428571,47.73809524,71.04761905,54.69047619,53.85714286,59.61904762,51.30952381,57.9047619,65.07142857,54.57142857,56.83333333,0.880952381,1.285714286,1.357142857,1.904761905,1.666666667,1.666666667,1.69047619,1.285714286,1.80952381,1.642857143,1.571428571,1.666666667,1.428571429,2.5,3.142857143,3.619047619,2.619047619,1.738095238,3.261904762,1.857142857,2.619047619,2.714285714,2.523809524,1.619047619,2.880952381,2.214285714,3.30952381,5.738095238,1.119047619,1.380952381,1.30952381,1.095238095,1.119047619,0.904761905,2.333333333,406.1666667,141.5952381,100.4047619,1.642857143,2.5,0.928571429,0.928571429,0.928571429,2.428571429,0.666666667,0,0.952380952,0,1.69047619,1.785714286,0.80952381,52.57142857,5.023809524,3.642857143,2.047619048,1.928571429,2.476190476,1.571428571,5.428571429,1.357142857,2.666666667,2.214285714,1.523809524,3.761904762,2.857142857,2.071428571,3.166666667,2.928571429,2.80952381,2.404761905,4.928571429,4.714285714,4.761904762,4.452380952,5.761904762,1.666666667,1.857142857,1.80952381,1.785714286,2.595238095,3.785714286,3.857142857,2.142857143,3.166666667,2.214285714,1.714285714,1.69047619,1.595238095,1.142857143,1.904761905,63.64285714,4,1.857142857,3.69047619,3.214285714,4.142857143,3.785714286,2.69047619,3.476190476,1.642857143,1.095238095,4.904761905,2.357142857,2.547619048,2.476190476,4.714285714,5.595238095,3.761904762,2.952380952,2.976190476,4.047619048,2,1.30952381,1.452380952,1.476190476,6.523809524,3.428571429,6.142857143,7.261904762,6.166666667,3.333333333,7.30952381,5.571428571,7.476190476,6.666666667,7.214285714,5.523809524,2,2.380952381,1.904761905,2.214285714,97.4,0.1,0,7.9,18.3,9.2,6381018,53,2273842,34.5,16.8,3.9,17.8,3.46,72.9,21.7,843929,68.1,27.1,24.1,1548377,33460,3708238,4,12.9,5.7,72.5,27.5,63.6,13.1,2.5,4.9,25,2947910,20.4,19.2,12.5,75042,0.0005,"2,293,475.00","1,230,111.00",0.54,10,"1,034,707.00",0.45,0,44.4,0.567,0.491,-0.049,-0.078,42181
California,6,2008,69.33916084,72.40559441,72.43006993,57.6048951,61.66083916,62.62587413,62.0034965,74.28671329,73.97552448,60.23426573,77.77622378,58.87762238,74.17832168,43.20629371,71.84615385,55.6013986,52.7972028,64.24825175,56.26223776,57.46503497,64.72027972,52.21678322,75.24125874,1.206293706,1.367132867,1.475524476,1.664335664,1.681818182,1.821678322,1.77972028,1.356643357,1.520979021,1.65034965,1.727272727,1.695804196,1.653846154,2.559440559,2.867132867,3.548951049,2.699300699,1.891608392,3.451048951,2.251748252,3.22027972,3.244755245,2.346153846,1.734265734,2.402097902,2.122377622,3.552447552,5.545454545,0.958041958,1.307692308,1.153846154,0.772727273,0.786713287,0.688811189,2.143356643,567.986014,167.2027972,127.6153846,1.608391608,2.381118881,0.902097902,0.902097902,0.933566434,2.241258741,0.741258741,0,1.087412587,0,1.744755245,1.842657343,0.77972028,53.8006993,4.63986014,3.066433566,1.664335664,2.073426573,1.825174825,1.531468531,5.248251748,1.321678322,2.5,2.136363636,1.314685315,3.094405594,3.017482517,2.055944056,3.370629371,3.562937063,3.059440559,3.01048951,4.933566434,4.762237762,4.783216783,4.601398601,5.479020979,2.020979021,2.164335664,1.811188811,1.979020979,2.573426573,3.86013986,3.86013986,2.27972028,3.34965035,2.13986014,1.534965035,1.702797203,1.48951049,1.265734266,2.083916084,62.12587413,4.251748252,2.332167832,3.986013986,3.223776224,4.125874126,3.863636364,2.923076923,3.867132867,2.087412587,1.405594406,5.538461538,2.479020979,2.58041958,2.601398601,4.776223776,4.734265734,3.520979021,3.164335664,3.402097902,3.91958042,1.751748252,1.423076923,1.587412587,1.541958042,6.552447552,3.877622378,6.269230769,7.325174825,6.391608392,3.517482517,7.405594406,5.601398601,7.276223776,6.513986014,7.314685315,5.314685315,1.93006993,2.5,2.241258741,2.391608392,96.4,0.3,0,7.3,18.1,10.5,35890478,50.6,12176760,32.1,15.2,4,16.9,3.57,68.2,26,5248256,63.5,31,28.8,9399440,181100,20835341,4.8,10.4,4.2,57.7,42.3,65.5,11.9,2.5,4.8,27,17124518,18.1,17.3,11.5,28288,0.0002,"13,561,900.00","5,011,781.00",0.37,0,"8,274,473.00",0.61,55,54.3,0.609,0.495,-0.007,-0.074,54733
Colorado,8,2008,70.2020202,69.38383838,71.81818182,54.6969697,54.70707071,59.6969697,60.51515152,79.35353535,69.98989899,63.02020202,76.90909091,59.64646465,70.22222222,45.62626263,66.56565657,54.08080808,52.73737374,59.34343434,49.86868687,55.44444444,59.53535354,54.50505051,87.60606061,1.060606061,1.343434343,1.464646465,1.606060606,1.505050505,1.757575758,1.717171717,1.262626263,1.373737374,1.555555556,1.565656566,1.626262626,1.545454545,2.555555556,3.282828283,3.373737374,2.545454545,1.686868687,3.111111111,2.171717172,3.383838384,3.707070707,2.454545455,1.707070707,3.060606061,2.494949495,3.434343434,5.242424242,1.080808081,1.454545455,1.343434343,0.707070707,0.838383838,0.818181818,2.252525253,555.7777778,142.8484848,88.53535354,1.696969697,2.494949495,0.95959596,0.95959596,1.050505051,2.424242424,0.878787879,0.888888889,1.252525253,1.333333333,1.676767677,1.868686869,0.797979798,52.45454545,5.323232323,3.808080808,1.797979798,2.151515152,2.060606061,1.707070707,5.141414141,1.202020202,2.393939394,2.111111111,1.323232323,3.111111111,3.03030303,1.888888889,2.96969697,3.191919192,2.767676768,2.727272727,4.808080808,4.717171717,4.818181818,4.565656566,5.96969697,1.95959596,2.121212121,2.202020202,2.353535354,3,3.787878788,3.858585859,2.252525253,3.313131313,1.888888889,1.575757576,1.767676768,1.626262626,1.252525253,1.949494949,61.17171717,3.898989899,2.151515152,3.454545455,3.080808081,3.676767677,3.393939394,2.848484848,3.505050505,1.737373737,1.121212121,3.858585859,2.04040404,2.131313131,2.333333333,3.939393939,5.131313131,3.494949495,2.787878788,3,3.787878788,1.858585859,1.585858586,1.767676768,1.525252525,6.606060606,3.616161616,6.252525253,7.363636364,6.555555556,3.414141414,7.444444444,5.232323232,7.343434343,6.646464646,7.262626263,5.363636364,1.98989899,2.080808081,1.828282828,2.080808081,96.9,0.2,0,7.2,17.2,9.5,4830150,58.9,1897835,36.3,18.1,4.2,18.2,3.17,68.1,24.5,648638,63.9,29.5,35.1,1253964,18863,2882038,3.2,9.9,9.2,83,17,71,11.3,2.6,6.3,24.6,2583902,14.8,13.4,10.2,7944875,0.0494,"2,401,361.00","1,073,589.00",0.45,0,"1,288,576.00",0.54,9,47,0.71,0.647,0.094,0.078,51927
Connecticut,9,2008,66.3,77,75.73333333,59.16666667,70.63333333,74.26666667,64.63333333,76.43333333,79.46666667,71.93333333,78.46666667,65,81.56666667,46.26666667,68.26666667,63.6,59,57.56666667,62.43333333,65.46666667,69.03333333,59.26666667,94.6,1.433333333,1.666666667,1.666666667,2.533333333,2.333333333,2.1,2.166666667,1.433333333,1.433333333,1.933333333,1.8,1.966666667,1.933333333,2.833333333,4.033333333,5.033333333,3.566666667,2.1,3.8,2.033333333,4.566666667,4.8,3.1,1.566666667,2.166666667,2.033333333,4.366666667,5.1,0.566666667,1.7,1.4,0.333333333,0.366666667,0.366666667,2.3,704.3,259.8,188.5333333,1.466666667,2.166666667,0.7,0.7,0.7,2.1,0.4,0,0.466666667,0,1.466666667,2.033333333,0.533333333,52.43333333,6.233333333,5.333333333,0.9,1.133333333,2.266666667,3.366666667,4.466666667,0.7,2.566666667,2.4,1.233333333,2.833333333,3.533333333,2.166666667,3.533333333,3.933333333,3.533333333,3,5.133333333,4.833333333,4.866666667,4.666666667,4.866666667,2.2,2.3,2.3,2.4,2.933333333,4.366666667,4.5,1.966666667,2.866666667,2.133333333,1.233333333,1.2,1.233333333,1.066666667,1.833333333,65.5,4.666666667,2.666666667,4.166666667,3.466666667,4.833333333,4.466666667,2.8,4.2,2.533333333,1.766666667,6.633333333,3.033333333,3.033333333,3.066666667,5.4,4.833333333,3.733333333,3.366666667,3.9,4.166666667,1.966666667,1.233333333,1.8,2,7.333333333,3.333333333,6.666666667,7.966666667,6.833333333,4.633333333,7.766666667,5.966666667,7.8,7.066666667,7.633333333,5.366666667,2.1,2.966666667,2.366666667,3.2,97.9,0.2,0,6,17.2,9.3,3388234,59,1329305,33.1,14.7,3.2,18.4,3.13,67.7,25.1,468408,62.6,30.8,34.5,869841,13031,2160148,2.7,7.5,4.3,80.2,19.8,68.8,8.8,1.3,4.1,25.1,1790668,12.1,11.1,8.3,0,0,"1,646,792.00","629,428.00",0.38,0,"997,772.00",0.61,7,54.3,0.666,0.604,0.05,0.035,66922
Delaware,10,2008,68.5,82.35,78.7,63.7,71,66.75,73.25,81.4,71.75,83.1,81.4,58.15,84.1,41.25,73.45,66.75,72.3,57.2,50.5,68.45,77.35,62.45,118.6,1.15,1.35,1.35,1.85,1.9,2.3,1.95,1.05,1.15,1.55,1.65,2.15,1.8,2.6,4.6,4.6,3,1.85,3.5,1.95,5.15,5.15,3.35,1.6,3.5,2.7,5.3,4.4,1.05,1.5,1.4,0.8,0.6,0.65,2.1,563.2,107.45,83.3,1.5,2.3,0.45,0.45,0.6,3.8,0.35,0.35,0.3,0.3,1.7,1.6,0.8,57.1,6.3,4.95,1.85,2.2,1.5,1.55,5.3,1.35,3.15,2.7,1.2,3.1,3.2,1.2,2.65,3.05,2.2,2.95,3.6,3.5,4.6,4.4,6.3,2.75,2.65,2.4,2.4,3.4,3.6,3.9,2.1,3.2,2.2,1.3,1.45,1.3,1.2,2.05,73.85,4.35,1.7,3.1,2.5,3.65,3.05,2.4,4.2,0.95,1.15,5.2,2,2,2.25,4.4,2.95,2.55,2.65,2.95,3,1.9,1.3,2.3,1.4,6.95,4.4,6.6,7.35,6.6,5.8,7.4,5.1,7.4,6.4,7.6,4.85,1.5,2.25,1.6,2.2,98.3,0.3,0,6.8,16.8,9.8,848985,57.9,328654,32.4,14.6,3.2,17.8,3.14,67.7,25.2,114044,62.3,32.1,27.1,218161,4533,526112,4,8.5,5.7,89.4,10.6,66,10.6,1.7,3,25,420977,13.3,12.8,8.9,0,0,"412,412.00","152,374.00",0.37,0,"255,459.00",0.62,3,53.3,0.656,0.606,0.04,0.037,61797
District of Columbia,11,2008,80.5,85.28571429,83.71428571,60.07142857,78.07142857,68.28571429,62.71428571,76.71428571,70.92857143,78.64285714,77,65.92857143,73.21428571,33.42857143,71.78571429,66.35714286,61.85714286,54.21428571,62.21428571,77.35714286,67.14285714,56.21428571,140.5,1.428571429,1.142857143,1.357142857,1.571428571,1.928571429,1.857142857,1.928571429,1.142857143,1.142857143,1.5,1.714285714,1.928571429,1.928571429,2.428571429,3.857142857,4.642857143,3.785714286,2,3.928571429,1.571428571,4.428571429,4.142857143,2.428571429,1.5,3.285714286,2.714285714,5.5,4.714285714,0.928571429,1.428571429,1.214285714,0.428571429,0.428571429,0.428571429,2.285714286,649.3571429,139.2142857,96,1.642857143,2.357142857,0.642857143,0.642857143,0.642857143,2.642857143,0.428571429,0,0.428571429,0,1.857142857,2.071428571,0.785714286,49.64285714,7.285714286,6.428571429,2.785714286,2.642857143,1.714285714,3.714285714,4.857142857,1.285714286,3.071428571,2.928571429,1.214285714,3.142857143,3.785714286,1.857142857,2.857142857,3.857142857,2.285714286,2.857142857,5.428571429,5.142857143,4.428571429,4.285714286,5.785714286,2.642857143,2.642857143,2.142857143,2.285714286,4.571428571,3.714285714,3.857142857,2.071428571,3.071428571,2.642857143,1.214285714,1.642857143,1.642857143,1.071428571,1.857142857,62,4.928571429,2.428571429,3.214285714,2.571428571,3.928571429,3.5,2.5,3.857142857,1.571428571,0.857142857,5.857142857,2.285714286,2.285714286,2.5,4.714285714,4.928571429,4.214285714,3.857142857,4.785714286,4.5,2.142857143,1.642857143,1.714285714,1.214285714,6.928571429,3.357142857,7.357142857,7.642857143,7.285714286,4.857142857,7.5,4.785714286,7.571428571,7.214285714,7.642857143,4.214285714,1.357142857,2.785714286,2,2.357142857,98,0.1,0,6.1,12.8,12.9,556627,54.7,249996,57.1,26,5.7,31,3.31,52.1,39.9,79930,50,42.9,46.2,174240,3827,343587,3.2,10.8,7.6,85.6,14.4,68,6.6,3.7,4.7,29.5,306366,25.7,25.6,15.1,0,0,"265,853.00","17,367.00",0.07,0,"245,800.00",0.93,3,89.2,0.615,0.552,-0.001,-0.017,173305
Florida,12,2008,71.98265896,71.30635838,76.19653179,57.25433526,61.83815029,61.22543353,66.9132948,82.59537572,72.47398844,58.0867052,79.15028902,59.26589595,77.86705202,52.58381503,70.98265896,60.72254335,58.69364162,55.40462428,46.0982659,65.39306358,60.99421965,55.83236994,91.23121387,1.265895954,1.485549133,1.676300578,1.658959538,1.658959538,1.786127168,1.774566474,1.526011561,1.74566474,1.965317919,1.87283237,1.554913295,1.560693642,2.924855491,3.38150289,3.179190751,3.208092486,1.780346821,3.115606936,2.936416185,2.855491329,2.901734104,2.965317919,1.768786127,2.658959538,2.358381503,3.537572254,5.352601156,1.115606936,1.208092486,1.265895954,0.774566474,0.797687861,0.716763006,2.10982659,552.2138728,152.5086705,119.3641619,1.624277457,2.433526012,1.023121387,1.023121387,1.040462428,2.38150289,0.867052023,0,1.352601156,0,1.936416185,1.843930636,0.867052023,57.33526012,5.734104046,4.052023121,2.156069364,2.358381503,1.971098266,1.988439306,5.601156069,1.208092486,2.566473988,2.502890173,1.294797688,3.190751445,3.693641619,1.699421965,2.930635838,3.352601156,2.578034682,3.080924855,5.150289017,5,4.861271676,4.658959538,5.855491329,2.647398844,2.687861272,2.213872832,2.352601156,3.219653179,4.046242775,4.179190751,2.369942197,3.606936416,2.098265896,1.50867052,1.624277457,1.416184971,1.323699422,2.10982659,69.33526012,3.907514451,2.156069364,3.543352601,3.167630058,3.849710983,3.468208092,2.791907514,3.612716763,2.063583815,1.346820809,4.780346821,2.213872832,2.312138728,2.416184971,4.647398844,4.832369942,3.630057803,2.63583815,3.01734104,4.063583815,1.843930636,1.543352601,1.924855491,1.404624277,6.208092486,3.884393064,6.092485549,6.965317919,6.248554913,3.520231214,7.161849711,5.150289017,6.901734104,6.393063584,6.936416185,5.248554913,1.884393064,2.462427746,2.052023121,2.398843931,98.1,0.1,0,6.2,15.6,8.9,17902549,58.2,7057285,35.1,16.2,3.7,19,3.13,70.3,22.5,2199105,63.5,29.9,24.5,4301117,85604,11523342,3.4,9.8,5.8,74.1,25.9,61.8,10.3,2.3,4.5,25.9,8401290,18,16.6,11.8,29249985,0.1818,"8,390,744.00","4,045,624.00",0.48,0,"4,282,074.00",0.51,27,47.1,0.661,0.576,0.045,0.007,41611
Georgia,13,2008,70.69230769,75.44871795,76.1025641,60.74358974,63.20512821,65.03846154,64.37179487,83.79487179,68.1025641,56.85897436,80.78205128,60.46153846,75.3974359,47.24358974,69.66666667,62.37179487,56.26923077,54.05128205,45.84615385,67.88461538,63.26923077,52.26923077,67.17948718,1.166666667,1.269230769,1.487179487,1.653846154,1.512820513,1.820512821,1.807692308,1.435897436,1.461538462,1.756410256,1.705128205,1.858974359,1.602564103,2.871794872,3.628205128,3.474358974,2.666666667,1.833333333,3.243589744,2.435897436,3.205128205,3,2.384615385,1.666666667,2.743589744,2.333333333,3.371794872,5.320512821,1.102564103,1.141025641,1.141025641,0.564102564,0.576923077,0.512820513,2.128205128,627.5897436,177.4487179,137.1666667,1.576923077,2.346153846,0.961538462,0.961538462,1,2.358974359,0.91025641,0.858974359,1.41025641,1.41025641,1.974358974,1.666666667,0.923076923,54.98717949,5.705128205,4.166666667,2.08974359,1.91025641,1.807692308,1.807692308,5.282051282,1.487179487,2.679487179,2.705128205,1.153846154,2.897435897,3.358974359,1.807692308,3.025641026,3.858974359,2.628205128,3.205128205,5.076923077,4.846153846,4.743589744,4.487179487,5.666666667,2.525641026,2.564102564,2.371794872,2.474358974,3.243589744,4.307692308,4.525641026,2.307692308,3.551282051,2.102564103,1.58974359,1.397435897,1.461538462,1.217948718,2.128205128,66.62820513,4.153846154,2.5,3.974358974,3.333333333,4.038461538,3.743589744,3.153846154,3.666666667,2.076923077,1.653846154,5.358974359,2.448717949,2.551282051,2.615384615,4.641025641,5.038461538,3.948717949,3.128205128,3.423076923,4.256410256,1.935897436,1.358974359,1.512820513,1.371794872,6.256410256,3.243589744,5.807692308,7.205128205,5.923076923,3.705128205,7.179487179,5.564102564,7.115384615,6.217948718,7.243589744,5.025641026,1.871794872,2.653846154,2.282051282,2.525641026,98.6,0.1,0,7.6,18.7,9.8,9415488,54.8,3469845,31.9,14.8,3.2,17.1,3.31,72.1,19.8,1349949,65.8,27.4,27.2,2518541,55718,5497784,4.4,8.7,8.2,87.5,12.5,66.8,11.9,1.8,4.8,27,4558341,19.7,18.1,12.7,177805,0.0011,"3,924,440.00","2,048,744.00",0.52,15,"1,844,137.00",0.47,0,41.4,0.625,0.556,0.009,-0.013,44271
Illinois,17,2008,68.48275862,85.03448276,69.75862069,55.13793103,73.65517241,65.79310345,58.48275862,74.31034483,74.13793103,75.55172414,77.24137931,71.96551724,79.24137931,31.55172414,69.03448276,59.96551724,56.51724138,57.55172414,55.13793103,66.82758621,70.10344828,53.75862069,72.20689655,1.379310345,1.206896552,1.655172414,1.896551724,1.896551724,2.137931034,1.931034483,1.172413793,1.103448276,1.724137931,1.793103448,2.068965517,1.965517241,1.931034483,3.896551724,4.172413793,2.103448276,1.931034483,3.620689655,1.689655172,4.724137931,4.724137931,1.965517241,1.551724138,2.379310345,1.965517241,4.448275862,4.517241379,1.517241379,1.103448276,1.172413793,0.413793103,0.517241379,0.482758621,2,664,158.5172414,123.2758621,1.689655172,2.586206897,0.75862069,0.75862069,0.75862069,1.482758621,0.517241379,0.517241379,0.448275862,0.448275862,1.344827586,1.75862069,1.137931034,50.37931034,6.827586207,6.103448276,2.310344828,2.551724138,1.689655172,2.448275862,3.75862069,2,3.965517241,3.310344828,1.172413793,2.931034483,3,1.620689655,3.275862069,3.413793103,2.75862069,2.793103448,3.448275862,3.379310345,4.379310345,4.413793103,5.137931034,2.24137931,2.275862069,2.206896552,2.24137931,3.068965517,4.172413793,4.379310345,2.137931034,3.206896552,1.896551724,1.103448276,1.344827586,1.448275862,1.275862069,1.689655172,65.44827586,4.551724138,1.965517241,4.344827586,2.344827586,4.206896552,4.206896552,2.379310345,4.034482759,1.827586207,1.034482759,6.517241379,2.827586207,2.827586207,2.931034483,5,3.379310345,2.862068966,3.620689655,3.655172414,2.793103448,1.965517241,1.275862069,1.551724138,1.137931034,6,3.137931034,5.068965517,6.862068966,5.275862069,4.413793103,6.724137931,5.896551724,6.793103448,5.310344828,7.103448276,4.344827586,2.137931034,2.689655172,1.965517241,2.517241379,98.3,0.1,0,6.9,17.7,10.3,12556223,56.4,4766252,34.1,15.7,3.1,18.4,3.29,68.1,24.4,1790235,62.9,30.1,29.4,3268056,63319,7493651,3.4,8.6,4.5,78.1,21.9,67.7,9.4,1.6,4,28.5,6343853,16.8,15.4,10.6,53896,0.0003,"5,523,051.00","2,031,527.00",0.37,0,"3,419,673.00",0.62,21,54.8,0.636,0.574,0.02,0.005,51780
