,GEO.id,GEO.id2,GEO.display-label,EST_VC03,EST_VC05,EST_VC06,EST_VC11,EST_VC12,EST_VC13,EST_VC41,EST_VC42,EST_VC48,EST_VC55,EST_VC56,EST_VC58,EST_VC59,EST_VC63,EST_VC91,EST_VC92,EST_VC93,EST_VC94,EST_VC95,EST_VC108,EST_VC110,EST_VC112,EST_VC115,EST_VC116,EST_VC134,EST_VC135,EST_VC166,EST_VC167,EST_VC171,EST_VC187,EST_VC190,EST_VC191,EST_VC192,EST_VC194,EST_VC281,EST_VC283,EST_VC284,Year
1,0400000US01,01,Alabama,98.7,0.1,0.0,6.6,17.5,9.9,4541656,59.5,1815865,33.0,14.5,2.3,18.5,3.10,73.3,20.4,597228,66.2,28.0,21.2,1155351,28062,2764866,3.8,9.1,6.0,95.9,4.1,61.5,11.8,1.1,2.3,24.0,2079965,21.4,19.4,13.7,2008
25,0400000US02,02,Alaska,91.9,0.3,0.0,7.5,18.8,11.7,664877,53.2,237607,33.8,18.3,4.7,15.5,3.38,69.7,25.1,95517,66.5,28.1,29.2,173966,4496,372193,3.4,13.3,9.0,85.2,14.8,73.6,14.4,4.6,5.9,18.4,339851,10.3,8.8,7.5,2008
41,0400000US04,04,Arizona,97.4,0.1,0.0,7.9,18.3,9.2,6381018,53.0,2273842,34.5,16.8,3.9,17.8,3.46,72.9,21.7,843929,68.1,27.1,24.1,1548377,33460,3708238,4.0,12.9,5.7,72.5,27.5,63.6,13.1,2.5,4.9,25.0,2947910,20.4,19.2,12.5,2008
94,0400000US05,05,Arkansas,98.0,0.1,0.0,7.0,17.6,9.8,2774832,60.1,1114041,32.5,14.4,2.6,18.1,3.05,72.8,19.5,366354,66.7,26.6,18.3,690561,15300,1680928,4.1,10.8,7.0,93.9,6.1,61.4,12.6,1.5,3.3,21.3,1273320,24.6,22.9,14.8,2008
117,0400000US06,06,California,96.4,0.3,0.0,7.3,18.1,10.5,35890478,50.6,12176760,32.1,15.2,4.0,16.9,3.57,68.2,26.0,5248256,63.5,31.0,28.8,9399440,181100,20835341,4.8,10.4,4.2,57.7,42.3,65.5,11.9,2.5,4.8,27.0,17124518,18.1,17.3,11.5,2008
272,0400000US08,08,Colorado,96.9,0.2,0.0,7.2,17.2,9.5,4830150,58.9,1897835,36.3,18.1,4.2,18.2,3.17,68.1,24.5,648638,63.9,29.5,35.1,1253964,18863,2882038,3.2,9.9,9.2,83.0,17.0,71.0,11.3,2.6,6.3,24.6,2583902,14.8,13.4,10.2,2008
322,0400000US09,09,Connecticut,97.9,0.2,0.0,6.0,17.2,9.3,3388234,59.0,1329305,33.1,14.7,3.2,18.4,3.13,67.7,25.1,468408,62.6,30.8,34.5,869841,13031,2160148,2.7,7.5,4.3,80.2,19.8,68.8,8.8,1.3,4.1,25.1,1790668,12.1,11.1,8.3,2008
363,0400000US10,10,Delaware,98.3,0.3,0.0,6.8,16.8,9.8,848985,57.9,328654,32.4,14.6,3.2,17.8,3.14,67.7,25.2,114044,62.3,32.1,27.1,218161,4533,526112,4.0,8.5,5.7,89.4,10.6,66.0,10.6,1.7,3.0,25.0,420977,13.3,12.8,8.9,2008
379,0400000US11,11,District of Columbia,98.0,0.1,0.0,6.1,12.8,12.9,556627,54.7,249996,57.1,26.0,5.7,31.0,3.31,52.1,39.9,79930,50.0,42.9,46.2,174240,3827,343587,3.2,10.8,7.6,85.6,14.4,68.0,6.6,3.7,4.7,29.5,306366,25.7,25.6,15.1,2008
391,0400000US12,12,Florida,98.1,0.1,0.0,6.2,15.6,8.9,17902549,58.2,7057285,35.1,16.2,3.7,19.0,3.13,70.3,22.5,2199105,63.5,29.9,24.5,4301117,85604,11523342,3.4,9.8,5.8,74.1,25.9,61.8,10.3,2.3,4.5,25.9,8401290,18.0,16.6,11.8,2008
