State,VEP Total Ballots Counted,VAP Highest Office
United States,60.10%,55.40%
Alabama,57.20%,55.20%
Alaska,69.10%,65.20%
Arizona,54.10%,47.00%
Arkansas,53.60%,51.00%
California,58.80%,47.10%
Colorado,66.70%,61.20%
Connecticut,65.00%,59.70%
Delaware,64.20%,59.40%
District of Columbia,54.30%,48.90%
Florida,64.40%,56.10%
Georgia,56.20%,50.00%
Hawaii,48.20%,44.10%
Idaho,63.20%,58.70%
Illinois,61.50%,55.70%
Indiana,54.80%,53.00%
Iowa,69.90%,67.40%
Kansas,61.60%,58.30%
Kentucky,58.70%,56.90%
Louisiana,61.10%,58.50%
Maine,73.80%,72.60%
Maryland,62.90%,57.20%
Massachusetts,64.20%,58.70%
Michigan,66.60%,63.90%
Minnesota,78.40%,73.90%
Mississippi,55.70%,54.20%
Missouri,65.30%,62.90%
Montana,64.40%,63.40%
Nebraska,62.90%,59.80%
Nevada,55.30%,47.30%
New Hampshire,70.90%,68.40%
New Jersey,63.80%,55.20%
New Mexico,59.00%,53.90%
New York,58.00%,50.20%
North Carolina,57.80%,53.90%
North Dakota,64.80%,63.80%
Ohio,66.80%,65.10%
Oklahoma,58.30%,55.30%
Oregon,72.00%,66.80%
Pennsylvania,62.60%,60.60%
Rhode Island,58.50%,52.90%
South Carolina,53.00%,50.70%
South Dakota,68.20%,66.90%
Tennessee,56.30%,54.10%
Texas,53.70%,45.40%
Utah,58.90%,54.70%
Vermont,66.30%,65.00%
Virginia,60.60%,56.20%
Washington,66.90%,60.80%
West Virginia,54.10%,53.40%
Wisconsin,74.80%,71.60%
Wyoming,65.70%,63.70%
