,VEP Total Ballots Counted,VAP Highest Office,Total Ballots Counted
0,United States,61.6%,56.9%
1,Alabama,60.8%,58.4%
2,Alaska,68.0%,64.3%
3,Arizona,56.7%,49.1%
4,Arkansas,52.5%,50.0%
5,California,60.9%,49.5%
6,Colorado,71.0%,64.7%
7,Connecticut,66.6%,60.4%
8,Delaware,65.6%,60.6%
9,District of Columbia,61.5%,55.2%
10,Florida,66.1%,57.6%
11,Georgia,62.5%,55.6%
12,Hawaii,48.8%,43.8%
13,Idaho,63.6%,58.6%
14,Illinois,63.6%,57.4%
15,Indiana,59.1%,57.0%
16,Iowa,69.4%,66.9%
17,Kansas,62.0%,58.8%
18,Kentucky,57.9%,55.7%
19,Louisiana,61.2%,58.7%
20,Maine,70.6%,69.6%
21,Maryland,67.0%,60.6%
22,Massachusetts,66.8%,60.9%
23,Michigan,69.2%,66.4%
24,Minnesota,77.8%,73.2%
25,Mississippi,61.0%,58.9%
26,Missouri,67.6%,64.9%
27,Montana,66.3%,65.1%
28,Nebraska,62.9%,59.4%
29,Nevada,57.0%,48.4%
30,New Hampshire,71.7%,69.6%
31,New Jersey,67.0%,58.2%
32,New Mexico,60.9%,55.1%
33,New York,59.0%,51.4%
34,North Carolina,65.5%,60.7%
35,North Dakota,62.7%,61.7%
36,Ohio,66.9%,65.1%
37,Oklahoma,55.8%,52.8%
38,Oregon,67.7%,62.7%
39,Pennsylvania,63.6%,61.3%
40,Rhode Island,61.8%,57.1%
41,South Carolina,58.0%,55.3%
42,South Dakota,64.7%,63.4%
43,Tennessee,57.0%,54.5%
44,Texas,54.1%,45.5%
45,Utah,56.0%,51.8%
46,Vermont,67.3%,66.0%
47,Virginia,67.0%,61.8%
48,Washington,66.6%,60.3%
49,West Virginia,49.9%,49.1%
50,Wisconsin,72.4%,69.3%
51,Wyoming,62.8%,60.9%
