,State,Numerators,Denominators
0,VEP Total Ballots Counted,VAP Highest Office,Total Ballots Counted
1,United States,58.0%,53.6%
2,Alabama,58.6%,56.0%
3,Alaska,58.7%,55.3%
4,Arizona,52.6%,46.5%
5,Arkansas,50.7%,47.7%
6,California,55.1%,45.1%
7,Colorado,69.9%,64.5%
8,Connecticut,61.3%,55.6%
9,Delaware,62.4%,57.8%
10,District of Columbia,61.5%,55.5%
11,Florida,62.8%,55.1%
12,Georgia,59.1%,52.3%
13,Hawaii,44.2%,39.9%
14,Idaho,59.8%,55.6%
15,Illinois,58.9%,53.3%
16,Indiana,55.2%,52.9%
17,Iowa,70.3%,67.1%
18,Kansas,56.9%,53.5%
19,Kentucky,55.7%,53.4%
20,Louisiana,60.2%,57.0%
21,Maine,68.2%,67.0%
22,Maryland,66.6%,59.5%
23,Massachusetts,65.9%,60.2%
24,Michigan,64.7%,62.0%
25,Minnesota,76.1%,71.4%
26,Mississippi,59.3%,57.2%
27,Missouri,62.2%,59.6%
28,Montana,62.5%,61.6%
29,Nebraska,60.3%,56.9%
30,Nevada,56.4%,48.2%
31,New Hampshire,70.2%,67.8%
32,New Jersey,61.5%,53.2%
33,New Mexico,54.6%,49.8%
34,New York,53.1%,46.1%
35,North Carolina,64.9%,60.1%
36,North Dakota,59.8%,58.7%
37,Ohio,64.5%,62.7%
38,Oklahoma,49.2%,46.3%
39,Oregon,63.1%,58.7%
40,Pennsylvania,59.5%,57.2%
41,Rhode Island,58.0%,53.4%
42,South Carolina,56.3%,53.6%
43,South Dakota,59.3%,57.6%
44,Tennessee,51.9%,49.4%
45,Texas,49.6%,41.7%
46,Utah,55.5%,51.4%
47,Vermont,60.7%,59.6%
48,Virginia,66.1%,60.7%
49,Washington,64.8%,58.6%
50,West Virginia,46.3%,45.5%
51,Wisconsin,72.9%,69.5%
52,Wyoming,58.6%,56.4%
